"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2520","Переход между вкладками Конструктор / Лента заказов","tests","2026-02-12","passed","2026-02-12","TestMainPage","Основная функциональность","",""
"","2196","Счетчик ингредиента увеличивается при добавлении в заказ","tests","2026-02-12","passed","2026-02-12","TestMainPage","Основная функциональность","",""
"","2474","Открытие и закрытие модального окна ингредиента","tests","2026-02-12","passed","2026-02-12","TestMainPage","Основная функциональность","",""
"","2337","Переход между вкладками Конструктор / Лента заказов","tests","2026-02-12","passed","2026-02-12","TestMainPage","Основная функциональность","",""
"","2078","Счетчик ингредиента увеличивается при добавлении в заказ","tests","2026-02-12","passed","2026-02-12","TestMainPage","Основная функциональность","",""
"","2368","Открытие и закрытие модального окна ингредиента","tests","2026-02-12","passed","2026-02-12","TestMainPage","Основная функциональность","",""
